,Word1,Word2,Similarity Score,Ground Truth similarity score,Label
0,मोहब्बत,सेक्स,3.1299957633018494,6.8,0
1,बाघ,बिल्ली,5.336025357246399,7.0,1
2,किताब,कागज़,5.469305515289307,7.6,1
3,कंप्यूटर,कीबोर्ड,7.682934999465942,7.6,1
4,कंप्यूटर,इंटरनेट,8.108631372451782,8.0,1
5,विमान,कार,6.373139023780823,6.0,1
6,रेलगाड़ी,कार,7.488715648651123,6.2,1
7,टेलीफोन,संचार,3.745673894882202,7.6,0
8,टेलीविजन,रेडियो,8.019670248031616,6.4,1
9,मीडिया,रेडियो,4.965293109416962,5.8,1
10,ब्रेड,मक्खन,8.236987590789795,6.6,1
11,खीरा,आलू,8.303862810134888,5.8,1
12,चिकित्सक,नर्स,7.180417776107788,7.6,1
13,प्रोफ़ेसर,चिकित्सक,4.706634879112244,4.6,1
14,छात्र,प्रोफ़ेसर,4.458838403224945,7.0,1
15,होशियार,छात्र,2.221747785806656,5.2,0
16,होशियार,बेवकूफ,6.045511960983276,6.2,1
17,किताब,पुस्तकालय,2.882695198059082,7.6,0
18,बैंक,पैसे,4.3558090925216675,8.0,1
19,लकड़ी,जंगल,5.52721381187439,7.0,1
20,प्रोफ़ेसर,खीरा,-0.05156201310455799,0.0,0
21,राजा,रानी,6.619059443473816,8.2,1
22,बिशप,रबी,-1.189306303858757,7.0,0
23,यरूशलेम,इजराइल,5.5090779066085815,7.8,1
24,पवित्र,सेक्स,0.9757401049137115,1.0,0
25,माराडोना,फ़ुटबॉल,7.276397347450256,7.8,1
26,फ़ुटबॉल,सॉकर,8.768568634986877,9.0,1
27,फ़ुटबॉल,बास्केटबाल,7.947430610656738,6.4,1
28,फ़ुटबॉल,टेनिस,8.422404527664185,5.8,1
29,टेनिस,रैकेट,2.219862788915634,7.4,0
30,कानून,वकील,3.841879367828369,7.8,0
31,चलचित्र,पॉपकॉर्न,2.4394677579402924,6.6,0
32,चलचित्र,आलोचक,3.5865935683250427,6.6,0
33,चलचित्र,थिएटर,5.928100943565369,8.4,1
34,पीना,कार,0.14033534564077854,1.4,0
35,पीना,कान,1.351214051246643,0.4,0
36,पीना,मुंह,2.2652244567871094,7.0,0
37,बच्चा,मां,5.297820568084717,7.2,1
38,पीना,मां,1.6959014534950256,1.8,0
39,मणि,गहना,3.61445814371109,6.8,0
40,भट्ठी,स्टोव,7.895334362983704,8.4,1
41,भोजन,फल,6.405230760574341,6.6,1
42,पक्षी,सारस,8.715890049934387,7.4,1
43,भाई,साधु,3.4423446655273438,1.4,0
44,यात्रा,कार,3.7126171588897705,6.2,0
45,साधु,गुलाम,2.0122458040714264,0.2,0
46,कांच,जादूगर,2.274899482727051,2.0,0
47,पैसे,मुद्रा,2.7428430318832397,8.6,0
48,पैसे,धन,6.681554913520813,9.2,1
49,पैसे,संपत्ति,4.640902876853943,8.4,1
50,पैसे,बैंक,4.3558090925216675,8.2,1
51,पैसे,जमा,4.152074158191681,6.6,1
52,पैसे,ऑपरेशन,1.54461070895195,2.6,0
53,बाघ,जैगुआर,2.182715982198715,8.0,0
54,बाघ,जानवर,7.367997169494629,7.6,1
55,बाघ,चिड़ियाघर,6.227160692214966,6.8,1
56,मनोविज्ञान,चिंता,1.6610094904899597,6.2,0
57,मनोविज्ञान,डर,-0.40998179465532303,5.2,0
58,मनोविज्ञान,डिप्रेशन,3.7255433201789856,7.0,0
59,मनोविज्ञान,क्लिनिक,3.094649612903595,6.4,0
60,मनोविज्ञान,चिकित्सक,4.5283472537994385,7.0,1
61,मनोविज्ञान,मन,2.513045072555542,7.4,0
62,मनोविज्ञान,स्वास्थ्य,4.304416179656982,6.2,1
63,मनोविज्ञान,विज्ञान,7.902854084968567,7.0,1
64,मनोविज्ञान,अनुशासन,5.841777324676514,4.2,1
65,",",Accuracy,=,0.7076923076923077,
