,unigram,unigramfreq
0,के,52891585
1,में,39758133
2,की,32016067
3,को,24302416
4,से,23050023
5,है,21999676
6,और,18993989
7,का,18262299
8,ने,17211918
9,पर,14740636
10,कि,12885828
11,भी,10746287
12,लिए,8134969
13,हैं,8109772
14,एक,8076768
15,नहीं,7714265
16,कर,7657695
17,ही,6767759
18,इस,6189172
19,हो,5699745
20,तो,5587174
21,किया,5243815
22,करने,4939187
23,कहा,4935351
24,यह,4469893
25,साथ,4394230
26,गया,4015738
27,बाद,3831770
28,अपने,3462635
29,था,3384720
30,रहे,3250365
31,तक,3147395
32,हुए,3095796
33,रहा,2940506
34,दिया,2844135
35,रही,2792522
36,जा,2751228
37,जो,2706475
38,सरकार,2453779
39,वह,2334063
40,कुछ,2323841
41,पहले,2288373
42,व,2284424
43,लेकिन,2283082
44,होने,2270771
45,या,2143587
46,वाले,2140479
47,गई,2137466
48,लोगों,2118192
49,कोई,2110288
50,करते,2092559
51,अपनी,2054998
52,आप,1911789
53,बात,1901270
54,सिंह,1898859
55,किसी,1868220
56,भारत,1799742
57,अब,1793163
58,थी,1787965
59,तरह,1770787
60,ये,1712349
61,लेकर,1708767
62,न,1700196
63,समय,1686854
64,पुलिस,1671285
65,दी,1669598
66,गए,1669527
67,साल,1639710
68,बार,1599093
69,बताया,1571482
70,कई,1570132
71,दो,1566298
72,थे,1551530
73,द्वारा,1538381
74,उनके,1525944
75,दिन,1523662
76,जब,1503502
77,हुआ,1483059
78,देश,1481204
79,उन्होंने,1475331
80,काम,1466213
81,जाता,1447876
82,सभी,1410726
83,आज,1405400
84,हुई,1393635
85,जाने,1384971
86,उन्हें,1381731
87,करना,1366343
88,होता,1352683
89,रूप,1321776
90,बहुत,1305672
91,लोग,1304440
92,सकता,1302638
93,हम,1284568
94,फिर,1279878
95,सकते,1253474
96,नाम,1242411
97,एवं,1237150
98,वे,1219326
99,दौरान,1215021
